Question,Context
Grinch Stole,By Pamela McClintock Senior Film Writer Despicable Me 2 Minions Laughing  H 2013 Revealing its animated family calendar for the near future  Universal announced Wednesday it will release Despicable Me 3 on June 30  2017  and a new Dr Seuss How the Grinch Stole Christmas on Nov 17 of that year 
Chris Meledandri,Both movies are from Chris Meledandri s Illumination Entertainment  the powerhouse behind the Despicable Me franchise 
Illumination Entertainment,Both movies are from Chris Meledandri s Illumination Entertainment  the powerhouse behind the Despicable Me franchise 
Despicable Me,Both movies are from Chris Meledandri s Illumination Entertainment  the powerhouse behind the Despicable Me franchise 
Universal,Universal  which owns a piece of Meledandri s company  also announced a Dec 21  2016  release date for an untitled Illumination project 
Meledandri,Universal  which owns a piece of Meledandri s company  also announced a Dec 21  2016  release date for an untitled Illumination project 
Pete,Pete Candeland is set to direct the newly imagined How the Grinch Stole Christmas from an adapted script by Michael LeSieur 
Candeland,Pete Candeland is set to direct the newly imagined How the Grinch Stole Christmas from an adapted script by Michael LeSieur 
Grinch Stole,Pete Candeland is set to direct the newly imagined How the Grinch Stole Christmas from an adapted script by Michael LeSieur 
Michael LeSieur,Pete Candeland is set to direct the newly imagined How the Grinch Stole Christmas from an adapted script by Michael LeSieur 
Ron Howard,The film  based on Dr Seuss iconic kids book  will open 17 years after Ron Howard s version played in theaters 
Illumination,News of a third Despicable Me comes as the second film in the franchise celebrates a dazzling run at the global box office  earning north of  935 million to date  one of the best showings of all time for an animated film  Illumination s Minions spinoff opens in theaters July 10  2015  
Minions,News of a third Despicable Me comes as the second film in the franchise celebrates a dazzling run at the global box office  earning north of  935 million to date  one of the best showings of all time for an animated film  Illumination s Minions spinoff opens in theaters July 10  2015  
Universal,The exact plot of the untitled 2016 Illumination project is shrouded in secrecy  although Universal announced that Garth Jennings will direct and write the comedy 
Garth Jennings,The exact plot of the untitled 2016 Illumination project is shrouded in secrecy  although Universal announced that Garth Jennings will direct and write the comedy 
Related,Related Stories Related Story Inside THR s Animation Roundtable Related Stories Related Story Channing Tatum Zoe Saldana split  H 2013 Related Stories Related Story Box Office  Despicable Me 2  Opens Strong in China  Heads for  9351 Million Globally Sign up for THR news straight to your inbox every day Sign up for THR news straight to your inbox every day Send us a tip using our anonymous form 
Story Inside THR,Related Stories Related Story Inside THR s Animation Roundtable Related Stories Related Story Channing Tatum Zoe Saldana split  H 2013 Related Stories Related Story Box Office  Despicable Me 2  Opens Strong in China  Heads for  9351 Million Globally Sign up for THR news straight to your inbox every day Sign up for THR news straight to your inbox every day Send us a tip using our anonymous form 
Animation Roundtable Related,Related Stories Related Story Inside THR s Animation Roundtable Related Stories Related Story Channing Tatum Zoe Saldana split  H 2013 Related Stories Related Story Box Office  Despicable Me 2  Opens Strong in China  Heads for  9351 Million Globally Sign up for THR news straight to your inbox every day Sign up for THR news straight to your inbox every day Send us a tip using our anonymous form 
Tatum Zoe Saldana,Related Stories Related Story Inside THR s Animation Roundtable Related Stories Related Story Channing Tatum Zoe Saldana split  H 2013 Related Stories Related Story Box Office  Despicable Me 2  Opens Strong in China  Heads for  9351 Million Globally Sign up for THR news straight to your inbox every day Sign up for THR news straight to your inbox every day Send us a tip using our anonymous form 
Related Stories Related,Related Stories Related Story Inside THR s Animation Roundtable Related Stories Related Story Channing Tatum Zoe Saldana split  H 2013 Related Stories Related Story Box Office  Despicable Me 2  Opens Strong in China  Heads for  9351 Million Globally Sign up for THR news straight to your inbox every day Sign up for THR news straight to your inbox every day Send us a tip using our anonymous form 
Strong,Related Stories Related Story Inside THR s Animation Roundtable Related Stories Related Story Channing Tatum Zoe Saldana split  H 2013 Related Stories Related Story Box Office  Despicable Me 2  Opens Strong in China  Heads for  9351 Million Globally Sign up for THR news straight to your inbox every day Sign up for THR news straight to your inbox every day Send us a tip using our anonymous form 
China,Related Stories Related Story Inside THR s Animation Roundtable Related Stories Related Story Channing Tatum Zoe Saldana split  H 2013 Related Stories Related Story Box Office  Despicable Me 2  Opens Strong in China  Heads for  9351 Million Globally Sign up for THR news straight to your inbox every day Sign up for THR news straight to your inbox every day Send us a tip using our anonymous form 
Heads,Related Stories Related Story Inside THR s Animation Roundtable Related Stories Related Story Channing Tatum Zoe Saldana split  H 2013 Related Stories Related Story Box Office  Despicable Me 2  Opens Strong in China  Heads for  9351 Million Globally Sign up for THR news straight to your inbox every day Sign up for THR news straight to your inbox every day Send us a tip using our anonymous form 
THR,Related Stories Related Story Inside THR s Animation Roundtable Related Stories Related Story Channing Tatum Zoe Saldana split  H 2013 Related Stories Related Story Box Office  Despicable Me 2  Opens Strong in China  Heads for  9351 Million Globally Sign up for THR news straight to your inbox every day Sign up for THR news straight to your inbox every day Send us a tip using our anonymous form 
THR,Related Stories Related Story Inside THR s Animation Roundtable Related Stories Related Story Channing Tatum Zoe Saldana split  H 2013 Related Stories Related Story Box Office  Despicable Me 2  Opens Strong in China  Heads for  9351 Million Globally Sign up for THR news straight to your inbox every day Sign up for THR news straight to your inbox every day Send us a tip using our anonymous form 
Please,Please make sure your browser supports JavaScript and cookies and that you are not blocking them from loading 
JavaScript,Please make sure your browser supports JavaScript and cookies and that you are not blocking them from loading 
Service,For more information you can review our Terms of Service and Cookie Policy 
Cookie Policy,For more information you can review our Terms of Service and Cookie Policy 
Bloomberg,Connecting decision makers to a dynamic network of information  people and ideas  Bloomberg quickly and accurately delivers business and financial information  news and insight around the world 
Asia,Americas1 212 318 2000 EMEA44 20 7330 7500 Asia Pacific65 6212 1000 Connecting decision makers to a dynamic network of information  people and ideas  Bloomberg quickly and accurately delivers business and financial information  news and insight around the world 
Bloomberg,Americas1 212 318 2000 EMEA44 20 7330 7500 Asia Pacific65 6212 1000 Connecting decision makers to a dynamic network of information  people and ideas  Bloomberg quickly and accurately delivers business and financial information  news and insight around the world 
Asia,Americas1 212 318 2000 EMEA44 20 7330 7500 Asia Pacific65 6212 1000 After Comcast Corp s Universal Pictures acquired DreamWorks Animation last year  executives there immediately began talking about Chris Meledandri taking on an expanded role  giving the Minions master responsibility for Shrek and Kung Fu Panda  too 
Comcast Corp.,Americas1 212 318 2000 EMEA44 20 7330 7500 Asia Pacific65 6212 1000 After Comcast Corp s Universal Pictures acquired DreamWorks Animation last year  executives there immediately began talking about Chris Meledandri taking on an expanded role  giving the Minions master responsibility for Shrek and Kung Fu Panda  too 
Universal Pictures,Americas1 212 318 2000 EMEA44 20 7330 7500 Asia Pacific65 6212 1000 After Comcast Corp s Universal Pictures acquired DreamWorks Animation last year  executives there immediately began talking about Chris Meledandri taking on an expanded role  giving the Minions master responsibility for Shrek and Kung Fu Panda  too 
DreamWorks,Americas1 212 318 2000 EMEA44 20 7330 7500 Asia Pacific65 6212 1000 After Comcast Corp s Universal Pictures acquired DreamWorks Animation last year  executives there immediately began talking about Chris Meledandri taking on an expanded role  giving the Minions master responsibility for Shrek and Kung Fu Panda  too 
Chris Meledandri,Americas1 212 318 2000 EMEA44 20 7330 7500 Asia Pacific65 6212 1000 After Comcast Corp s Universal Pictures acquired DreamWorks Animation last year  executives there immediately began talking about Chris Meledandri taking on an expanded role  giving the Minions master responsibility for Shrek and Kung Fu Panda  too 
Minions,Americas1 212 318 2000 EMEA44 20 7330 7500 Asia Pacific65 6212 1000 After Comcast Corp s Universal Pictures acquired DreamWorks Animation last year  executives there immediately began talking about Chris Meledandri taking on an expanded role  giving the Minions master responsibility for Shrek and Kung Fu Panda  too 
Shrek,Americas1 212 318 2000 EMEA44 20 7330 7500 Asia Pacific65 6212 1000 After Comcast Corp s Universal Pictures acquired DreamWorks Animation last year  executives there immediately began talking about Chris Meledandri taking on an expanded role  giving the Minions master responsibility for Shrek and Kung Fu Panda  too 
Kung Fu Panda,Americas1 212 318 2000 EMEA44 20 7330 7500 Asia Pacific65 6212 1000 After Comcast Corp s Universal Pictures acquired DreamWorks Animation last year  executives there immediately began talking about Chris Meledandri taking on an expanded role  giving the Minions master responsibility for Shrek and Kung Fu Panda  too 
John Lasseter,For many studio chiefs  it would have been a dream job  the kind of dualmanagement role that creative guru John Lasseter plays at both Pixar and Walt Disney Animation 
Walt Disney Animation,For many studio chiefs  it would have been a dream job  the kind of dualmanagement role that creative guru John Lasseter plays at both Pixar and Walt Disney Animation 
Meledandri,But Meledandri  who is 58  politely declined  choosing instead to consult at DreamWorks and spend the bulk of his time at Illumination Entertainment  the animation studio he cofounded with Universal 10 years ago 
DreamWorks,But Meledandri  who is 58  politely declined  choosing instead to consult at DreamWorks and spend the bulk of his time at Illumination Entertainment  the animation studio he cofounded with Universal 10 years ago 
Illumination Entertainment,But Meledandri  who is 58  politely declined  choosing instead to consult at DreamWorks and spend the bulk of his time at Illumination Entertainment  the animation studio he cofounded with Universal 10 years ago 
Universal,But Meledandri  who is 58  politely declined  choosing instead to consult at DreamWorks and spend the bulk of his time at Illumination Entertainment  the animation studio he cofounded with Universal 10 years ago 
Hollywood,Despicable Me 3 As Hollywood reflects on the worst summer box office in a decade  Meledandri s decision to stay focused looks smart 
Meledandri,Despicable Me 3 As Hollywood reflects on the worst summer box office in a decade  Meledandri s decision to stay focused looks smart 
Shrek,As a whole  the fourfilm Despicable Me franchise now ranks ahead of Shrek as the topgrossing animated film series off all time 
Universal,Two of the pictures are the first and second mostprofitable movies in Universal s 105year history 
Chris,Chris is one the great storytellers of our time  said Jeffrey Katzenberg  the DreamWorks cofounder who is now starting his own production company focused on shortform video 
Jeffrey Katzenberg,Chris is one the great storytellers of our time  said Jeffrey Katzenberg  the DreamWorks cofounder who is now starting his own production company focused on shortform video 
DreamWorks,Chris is one the great storytellers of our time  said Jeffrey Katzenberg  the DreamWorks cofounder who is now starting his own production company focused on shortform video 
Meledandri,Meledandri has a genius for creating deeply memorable and insanely hysterically funny characters  such as the Minions and Scrat from Ice Age  he said 
Minions,Meledandri has a genius for creating deeply memorable and insanely hysterically funny characters  such as the Minions and Scrat from Ice Age  he said 
Meledandri,Meledandri s hits  including the Ice Age series he worked on for 21st Century Fox Inc and last year s The Secret Life of Pets  an  875 million hit for Universal  have charmed their way into popular culture  with characters like the lovable super villain Gru and his squeaky  yellow henchmen the Minions popping up on everything from backpacks to themepark rides 
Century Fox Inc.,Meledandri s hits  including the Ice Age series he worked on for 21st Century Fox Inc and last year s The Secret Life of Pets  an  875 million hit for Universal  have charmed their way into popular culture  with characters like the lovable super villain Gru and his squeaky  yellow henchmen the Minions popping up on everything from backpacks to themepark rides 
Secret Life,Meledandri s hits  including the Ice Age series he worked on for 21st Century Fox Inc and last year s The Secret Life of Pets  an  875 million hit for Universal  have charmed their way into popular culture  with characters like the lovable super villain Gru and his squeaky  yellow henchmen the Minions popping up on everything from backpacks to themepark rides 
Pets,Meledandri s hits  including the Ice Age series he worked on for 21st Century Fox Inc and last year s The Secret Life of Pets  an  875 million hit for Universal  have charmed their way into popular culture  with characters like the lovable super villain Gru and his squeaky  yellow henchmen the Minions popping up on everything from backpacks to themepark rides 
Universal,Meledandri s hits  including the Ice Age series he worked on for 21st Century Fox Inc and last year s The Secret Life of Pets  an  875 million hit for Universal  have charmed their way into popular culture  with characters like the lovable super villain Gru and his squeaky  yellow henchmen the Minions popping up on everything from backpacks to themepark rides 
Gru,Meledandri s hits  including the Ice Age series he worked on for 21st Century Fox Inc and last year s The Secret Life of Pets  an  875 million hit for Universal  have charmed their way into popular culture  with characters like the lovable super villain Gru and his squeaky  yellow henchmen the Minions popping up on everything from backpacks to themepark rides 
Meledandri,In person  Meledandri speaks softly and deliberately  as if contemplating every word 
Illumination,And he s dead serious when he says he wants to build the Illumination brand into one that stands for family fun 
Chris Meledandri,His mission  he said  is simple  To make you feel good in a world where so many things don t Chris Meledandri In Hollywood  Meledandri is known for making films with relatively modest budgets   75 million on average  half or less than what other studios typically spend for wouldbe blockbusters 
Hollywood,His mission  he said  is simple  To make you feel good in a world where so many things don t Chris Meledandri In Hollywood  Meledandri is known for making films with relatively modest budgets   75 million on average  half or less than what other studios typically spend for wouldbe blockbusters 
Meledandri,His mission  he said  is simple  To make you feel good in a world where so many things don t Chris Meledandri In Hollywood  Meledandri is known for making films with relatively modest budgets   75 million on average  half or less than what other studios typically spend for wouldbe blockbusters 
Paris,Illumination s animators work in Paris  where the technical schools are good and competition for skilled workers less intense 
Comcast,His films benefit from the marketing machine of Comcast  which enables Illumination characters to make guest appearances on NBC productions from The Tonight Show to the Super Bowl  free real estate  Meledandri called it 
NBC,His films benefit from the marketing machine of Comcast  which enables Illumination characters to make guest appearances on NBC productions from The Tonight Show to the Super Bowl  free real estate  Meledandri called it 
Tonight Show,His films benefit from the marketing machine of Comcast  which enables Illumination characters to make guest appearances on NBC productions from The Tonight Show to the Super Bowl  free real estate  Meledandri called it 
Super,His films benefit from the marketing machine of Comcast  which enables Illumination characters to make guest appearances on NBC productions from The Tonight Show to the Super Bowl  free real estate  Meledandri called it 
Meledandri,His films benefit from the marketing machine of Comcast  which enables Illumination characters to make guest appearances on NBC productions from The Tonight Show to the Super Bowl  free real estate  Meledandri called it 
Illumination,There s another secret to Illumination s success  he said  100 people at the company working on content that promotes the films 
Meledandri,Meledandri  dressed in jeans and a black blazer  walked visitors through Illumination s loftlike offices in Santa Monica  California  20 miles from the Universal lot 
Illumination,Meledandri  dressed in jeans and a black blazer  walked visitors through Illumination s loftlike offices in Santa Monica  California  20 miles from the Universal lot 
Santa Monica,Meledandri  dressed in jeans and a black blazer  walked visitors through Illumination s loftlike offices in Santa Monica  California  20 miles from the Universal lot 
California,Meledandri  dressed in jeans and a black blazer  walked visitors through Illumination s loftlike offices in Santa Monica  California  20 miles from the Universal lot 
Universal,Meledandri  dressed in jeans and a black blazer  walked visitors through Illumination s loftlike offices in Santa Monica  California  20 miles from the Universal lot 
Minions,There are display cases in the lobby filled with Minions merchandise 
Beijing,On one wall are storyboards for weekly cartoons that appeared on Twittercom before the release of Despicable Me 3 On another wall were drawings for Minionsthemed Puma sneakers  designer apparel and a themepark attraction in Beijing 
Meledandri,Meledandri sat down to screen a music video from Pharrell Williams  whose song Happy from 2013 s Despicable Me 2 hit No 
Pharrell Williams,Meledandri sat down to screen a music video from Pharrell Williams  whose song Happy from 2013 s Despicable Me 2 hit No 
Meledandri,Meledandri tapped his feet as Williams appeared on screen  marching on the street near Illumination s headquarters 
Williams,Meledandri tapped his feet as Williams appeared on screen  marching on the street near Illumination s headquarters 
Illumination,Meledandri tapped his feet as Williams appeared on screen  marching on the street near Illumination s headquarters 
Yellow Light,The video for Yellow Light  a song from Despicable Me 3  has 21 million views on Youtubecom 
Movie,Movie industry colleagues told Meledandri when he started Illumination that he d never be able to build a longterm business in animation 
Meledandri,Movie industry colleagues told Meledandri when he started Illumination that he d never be able to build a longterm business in animation 
Disney,Many are still surprised  he said  to find out that his 2015 film Minions is the secondhighest grossing animated picture of alltime  behind only Disney s Frozen Despicable Me 3 has taken in almost three times as much as Pixar s Cars 3  which also came out in June 
Pixar,Many are still surprised  he said  to find out that his 2015 film Minions is the secondhighest grossing animated picture of alltime  behind only Disney s Frozen Despicable Me 3 has taken in almost three times as much as Pixar s Cars 3  which also came out in June 
Disney,The shadow of Disney is so large and looms so powerful that it s shocking when we go head to head with them and we do beat them  Meledandri said 
Meledandri,The shadow of Disney is so large and looms so powerful that it s shocking when we go head to head with them and we do beat them  Meledandri said 
Disney,Disney  of course  remains the standardbearer  and its Pixar unit pioneered digital animation and continues to innovate in the format 
Academy,Since the Academy of Motion Picture Arts  Sciences established an Oscar for best animated film in 2001  Disney and Pixar have gotten the award 11 times 
Motion Picture Arts,Since the Academy of Motion Picture Arts  Sciences established an Oscar for best animated film in 2001  Disney and Pixar have gotten the award 11 times 
Sciences,Since the Academy of Motion Picture Arts  Sciences established an Oscar for best animated film in 2001  Disney and Pixar have gotten the award 11 times 
Disney,Since the Academy of Motion Picture Arts  Sciences established an Oscar for best animated film in 2001  Disney and Pixar have gotten the award 11 times 
Pixar,Since the Academy of Motion Picture Arts  Sciences established an Oscar for best animated film in 2001  Disney and Pixar have gotten the award 11 times 
Meledandri,Meledandri was nominated only once  in 2013 for Despicable Me 2  and lost to Frozen Despicable Me 3 did fall 23 percent short of its predecessor  Minions  in the North American box office  though it s done better overseas 
U.S.,That trend  waning interest in sequels in the US  with foreign audiences still packing theaters  was evident in many of the summer s big releases  including Pirates of the Caribbean  Dead Men Tell No Tales and Transformers  The Last Knight Unless studios are adding something new or fresh  American audiences are deserting threequels  said Jeff Bock  senior media analyst at Exhibitor Relations 
Tell No Tales,That trend  waning interest in sequels in the US  with foreign audiences still packing theaters  was evident in many of the summer s big releases  including Pirates of the Caribbean  Dead Men Tell No Tales and Transformers  The Last Knight Unless studios are adding something new or fresh  American audiences are deserting threequels  said Jeff Bock  senior media analyst at Exhibitor Relations 
American,That trend  waning interest in sequels in the US  with foreign audiences still packing theaters  was evident in many of the summer s big releases  including Pirates of the Caribbean  Dead Men Tell No Tales and Transformers  The Last Knight Unless studios are adding something new or fresh  American audiences are deserting threequels  said Jeff Bock  senior media analyst at Exhibitor Relations 
Jeff Bock,That trend  waning interest in sequels in the US  with foreign audiences still packing theaters  was evident in many of the summer s big releases  including Pirates of the Caribbean  Dead Men Tell No Tales and Transformers  The Last Knight Unless studios are adding something new or fresh  American audiences are deserting threequels  said Jeff Bock  senior media analyst at Exhibitor Relations 
Hollywood,Hollywood s dependence on franchises with familiar characters can be limiting  said Meledandri  who has Minions 2  Sing 2 and Secret Life of Pets 2 in the works 
Meledandri,Hollywood s dependence on franchises with familiar characters can be limiting  said Meledandri  who has Minions 2  Sing 2 and Secret Life of Pets 2 in the works 
Secret Life,Hollywood s dependence on franchises with familiar characters can be limiting  said Meledandri  who has Minions 2  Sing 2 and Secret Life of Pets 2 in the works 
Pets,Hollywood s dependence on franchises with familiar characters can be limiting  said Meledandri  who has Minions 2  Sing 2 and Secret Life of Pets 2 in the works 
Despicable,That doesn t apply to Despicable Me 4  which is also in development  he said 
Matt Grobar Film Reporter Illumination,By Matt Grobar Film Reporter Illumination and Universal have set release dates for their forthcoming animated films Migration and Despicable Me 4 
Universal,By Matt Grobar Film Reporter Illumination and Universal have set release dates for their forthcoming animated films Migration and Despicable Me 4 
Migration,By Matt Grobar Film Reporter Illumination and Universal have set release dates for their forthcoming animated films Migration and Despicable Me 4 
Despicable,By Matt Grobar Film Reporter Illumination and Universal have set release dates for their forthcoming animated films Migration and Despicable Me 4 
Indiana Jones,The former original will be released wide on June 30  2023  opening against the untitled fifth film in the Indiana Jones franchise from Walt Disney Studios Motion Pictures 
Walt Disney Studios,The former original will be released wide on June 30  2023  opening against the untitled fifth film in the Indiana Jones franchise from Walt Disney Studios Motion Pictures 
Migration,Migration is a modernday comedy following a family of ducks who convince their overprotective father to go on the vacation of a lifetime as they attempt to migrate from New England  through New York City  and ultimately down to the Bahamas 
New England,Migration is a modernday comedy following a family of ducks who convince their overprotective father to go on the vacation of a lifetime as they attempt to migrate from New England  through New York City  and ultimately down to the Bahamas 
New York City,Migration is a modernday comedy following a family of ducks who convince their overprotective father to go on the vacation of a lifetime as they attempt to migrate from New England  through New York City  and ultimately down to the Bahamas 
Bahamas,Migration is a modernday comedy following a family of ducks who convince their overprotective father to go on the vacation of a lifetime as they attempt to migrate from New England  through New York City  and ultimately down to the Bahamas 
Oscar,Oscar nominee Benjamin Renner  Ernest et  is directing from an original screenplay by Mike White  School of Rock  The White Lotus   with Illumination founder Chris Meledandri producing 
Benjamin Renner,Oscar nominee Benjamin Renner  Ernest et  is directing from an original screenplay by Mike White  School of Rock  The White Lotus   with Illumination founder Chris Meledandri producing 
Ernest,Oscar nominee Benjamin Renner  Ernest et  is directing from an original screenplay by Mike White  School of Rock  The White Lotus   with Illumination founder Chris Meledandri producing 
Célestine,Oscar nominee Benjamin Renner  Ernest et  is directing from an original screenplay by Mike White  School of Rock  The White Lotus   with Illumination founder Chris Meledandri producing 
Mike White,Oscar nominee Benjamin Renner  Ernest et  is directing from an original screenplay by Mike White  School of Rock  The White Lotus   with Illumination founder Chris Meledandri producing 
School,Oscar nominee Benjamin Renner  Ernest et  is directing from an original screenplay by Mike White  School of Rock  The White Lotus   with Illumination founder Chris Meledandri producing 
Rock,Oscar nominee Benjamin Renner  Ernest et  is directing from an original screenplay by Mike White  School of Rock  The White Lotus   with Illumination founder Chris Meledandri producing 
Illumination,Oscar nominee Benjamin Renner  Ernest et  is directing from an original screenplay by Mike White  School of Rock  The White Lotus   with Illumination founder Chris Meledandri producing 
Chris Meledandri,Oscar nominee Benjamin Renner  Ernest et  is directing from an original screenplay by Mike White  School of Rock  The White Lotus   with Illumination founder Chris Meledandri producing 
Despicable Me,The Despicable Me franchise  launched in 2010  follows Gru  Steve Carell  reformed supervillain who ultimately becomes a father  husband  and secret his yellowhued pack of Minions 
Gru,The Despicable Me franchise  launched in 2010  follows Gru  Steve Carell  reformed supervillain who ultimately becomes a father  husband  and secret his yellowhued pack of Minions 
Steve Carell,The Despicable Me franchise  launched in 2010  follows Gru  Steve Carell  reformed supervillain who ultimately becomes a father  husband  and secret his yellowhued pack of Minions 
Minions,The Despicable Me franchise  launched in 2010  follows Gru  Steve Carell  reformed supervillain who ultimately becomes a father  husband  and secret his yellowhued pack of Minions 
Universal,Despicable Me 4 marks Illumination s 15th feature film collaboration with Universal  and will see Carell reprising his role  alongside Kristen Wiig  Pierre Coffin  Miranda Cosgrove and Steve Coogan 
Carell,Despicable Me 4 marks Illumination s 15th feature film collaboration with Universal  and will see Carell reprising his role  alongside Kristen Wiig  Pierre Coffin  Miranda Cosgrove and Steve Coogan 
Kristen Wiig,Despicable Me 4 marks Illumination s 15th feature film collaboration with Universal  and will see Carell reprising his role  alongside Kristen Wiig  Pierre Coffin  Miranda Cosgrove and Steve Coogan 
Pierre Coffin,Despicable Me 4 marks Illumination s 15th feature film collaboration with Universal  and will see Carell reprising his role  alongside Kristen Wiig  Pierre Coffin  Miranda Cosgrove and Steve Coogan 
Miranda Cosgrove,Despicable Me 4 marks Illumination s 15th feature film collaboration with Universal  and will see Carell reprising his role  alongside Kristen Wiig  Pierre Coffin  Miranda Cosgrove and Steve Coogan 
Steve Coogan,Despicable Me 4 marks Illumination s 15th feature film collaboration with Universal  and will see Carell reprising his role  alongside Kristen Wiig  Pierre Coffin  Miranda Cosgrove and Steve Coogan 
Chris,Chris Renaud  Despicable Me 1 and 2  The Lorax  The Secret Lives of Pets 1 and 2  is directing  with veteran animation director Patrick Delage  Sing  Sing 2  The Secret Life of Pets 2  codirecting from a script by White  and Meledandri producing 
Renaud,Chris Renaud  Despicable Me 1 and 2  The Lorax  The Secret Lives of Pets 1 and 2  is directing  with veteran animation director Patrick Delage  Sing  Sing 2  The Secret Life of Pets 2  codirecting from a script by White  and Meledandri producing 
Despicable,Chris Renaud  Despicable Me 1 and 2  The Lorax  The Secret Lives of Pets 1 and 2  is directing  with veteran animation director Patrick Delage  Sing  Sing 2  The Secret Life of Pets 2  codirecting from a script by White  and Meledandri producing 
Lorax,Chris Renaud  Despicable Me 1 and 2  The Lorax  The Secret Lives of Pets 1 and 2  is directing  with veteran animation director Patrick Delage  Sing  Sing 2  The Secret Life of Pets 2  codirecting from a script by White  and Meledandri producing 
Secret,Chris Renaud  Despicable Me 1 and 2  The Lorax  The Secret Lives of Pets 1 and 2  is directing  with veteran animation director Patrick Delage  Sing  Sing 2  The Secret Life of Pets 2  codirecting from a script by White  and Meledandri producing 
Patrick Delage,Chris Renaud  Despicable Me 1 and 2  The Lorax  The Secret Lives of Pets 1 and 2  is directing  with veteran animation director Patrick Delage  Sing  Sing 2  The Secret Life of Pets 2  codirecting from a script by White  and Meledandri producing 
Secret Life,Chris Renaud  Despicable Me 1 and 2  The Lorax  The Secret Lives of Pets 1 and 2  is directing  with veteran animation director Patrick Delage  Sing  Sing 2  The Secret Life of Pets 2  codirecting from a script by White  and Meledandri producing 
Pets,Chris Renaud  Despicable Me 1 and 2  The Lorax  The Secret Lives of Pets 1 and 2  is directing  with veteran animation director Patrick Delage  Sing  Sing 2  The Secret Life of Pets 2  codirecting from a script by White  and Meledandri producing 
Meledandri,Chris Renaud  Despicable Me 1 and 2  The Lorax  The Secret Lives of Pets 1 and 2  is directing  with veteran animation director Patrick Delage  Sing  Sing 2  The Secret Life of Pets 2  codirecting from a script by White  and Meledandri producing 
Illumination,Illumination set a July 1  2022 release date for its Coviddelayed Despicable Me spinoff sequel  Minions  The Rise of Gru  back in March 
Gru,Illumination set a July 1  2022 release date for its Coviddelayed Despicable Me spinoff sequel  Minions  The Rise of Gru  back in March 
Despicable Me,The Despicable Me and Minions movies have thus far collectively grossed more than  37 billion worldwide 
Minions,The Despicable Me and Minions movies have thus far collectively grossed more than  37 billion worldwide 
Subscribe,Subscribe to Deadline Breaking News Alerts and keep your inbox happy 
Deadline Breaking News Alerts,Subscribe to Deadline Breaking News Alerts and keep your inbox happy 
Signup,Signup for Breaking News Alerts  Newsletters By subscribing  I agree to the Terms of Use and Privacy Policy 
Breaking News Alerts,Signup for Breaking News Alerts  Newsletters By subscribing  I agree to the Terms of Use and Privacy Policy 
Use,Signup for Breaking News Alerts  Newsletters By subscribing  I agree to the Terms of Use and Privacy Policy 
Privacy Policy,Signup for Breaking News Alerts  Newsletters By subscribing  I agree to the Terms of Use and Privacy Policy 
reCAPTCHA Enterprise,This site is protected by reCAPTCHA Enterprise and the Google Privacy Policy and Terms of Service apply 
Google Privacy Policy,This site is protected by reCAPTCHA Enterprise and the Google Privacy Policy and Terms of Service apply 
Service,This site is protected by reCAPTCHA Enterprise and the Google Privacy Policy and Terms of Service apply 
Use,Sign up for our breaking news alerts By subscribing  I agree to the Terms of Use and Privacy Policy 
Privacy Policy,Sign up for our breaking news alerts By subscribing  I agree to the Terms of Use and Privacy Policy 
reCAPTCHA Enterprise,This site is protected by reCAPTCHA Enterprise and the Google Privacy Policy and Terms of Service apply 
Google Privacy Policy,This site is protected by reCAPTCHA Enterprise and the Google Privacy Policy and Terms of Service apply 
Service,This site is protected by reCAPTCHA Enterprise and the Google Privacy Policy and Terms of Service apply 
Deadline,Deadline is a part of Penske Media Corporation 
Penske Media Corporation,Deadline is a part of Penske Media Corporation 
LLC,2023 Deadline Hollywood  LLC 
Use,By subscribing  I agree to the Terms of Use and Privacy Policy 
Privacy Policy,By subscribing  I agree to the Terms of Use and Privacy Policy 
reCAPTCHA Enterprise,This site is protected by reCAPTCHA Enterprise and the Google Privacy Policy and Terms of Service apply 
Google Privacy Policy,This site is protected by reCAPTCHA Enterprise and the Google Privacy Policy and Terms of Service apply 
Service,This site is protected by reCAPTCHA Enterprise and the Google Privacy Policy and Terms of Service apply 
Matt Grobar Film Reporter Illumination,By Matt Grobar Film Reporter Illumination and Universal have set release dates for their forthcoming animated films Migration and Despicable Me 4 
Universal,By Matt Grobar Film Reporter Illumination and Universal have set release dates for their forthcoming animated films Migration and Despicable Me 4 
Migration,By Matt Grobar Film Reporter Illumination and Universal have set release dates for their forthcoming animated films Migration and Despicable Me 4 
Despicable,By Matt Grobar Film Reporter Illumination and Universal have set release dates for their forthcoming animated films Migration and Despicable Me 4 
Indiana Jones,The former original will be released wide on June 30  2023  opening against the untitled fifth film in the Indiana Jones franchise from Walt Disney Studios Motion Pictures 
Walt Disney Studios,The former original will be released wide on June 30  2023  opening against the untitled fifth film in the Indiana Jones franchise from Walt Disney Studios Motion Pictures 
Migration,Migration is a modernday comedy following a family of ducks who convince their overprotective father to go on the vacation of a lifetime as they attempt to migrate from New England  through New York City  and ultimately down to the Bahamas 
New England,Migration is a modernday comedy following a family of ducks who convince their overprotective father to go on the vacation of a lifetime as they attempt to migrate from New England  through New York City  and ultimately down to the Bahamas 
New York City,Migration is a modernday comedy following a family of ducks who convince their overprotective father to go on the vacation of a lifetime as they attempt to migrate from New England  through New York City  and ultimately down to the Bahamas 
